solver,agent_id,task_id,step,loc,row,col
solver1,47,25490,8,2952603,1640,603
solver1,48,2159,0,2983798,1657,1198
solver1,48,2159,1,2983799,1657,1199
solver1,48,2159,2,2981999,1656,1199
solver1,48,2159,3,2980199,1655,1199
solver1,48,2159,4,2978399,1654,1199
solver1,48,2159,5,2976599,1653,1199
solver1,48,2159,6,2974799,1652,1199
solver1,48,2159,7,2972999,1651,1199
solver1,48,2159,8,2972998,1651,1198
solver1,48,2159,9,2972997,1651,1197
solver1,49,302,0,3388507,1882,907
solver1,49,302,1,3390307,1883,907
solver1,49,302,2,3392107,1884,907
solver1,49,302,3,3393907,1885,907
solver1,49,302,4,3393908,1885,908
solver1,49,302,5,3393909,1885,909
solver1,49,302,6,3393910,1885,910
solver1,49,302,7,3393911,1885,911
solver1,49,302,8,3395711,1886,911
solver1,49,302,9,3397511,1887,911
solver1,50,2483,0,2368467,1315,1467
solver1,50,2483,1,2366667,1314,1467
solver1,50,2483,2,2364867,1313,1467
solver1,50,2483,3,2363067,1312,1467
solver1,50,2483,4,2361267,1311,1467
solver1,50,2483,5,2359467,1310,1467
solver1,50,2483,6,2357667,1309,1467
solver1,50,2483,7,2355867,1308,1467
solver1,51,20058,0,1234791,685,1791
solver1,51,20058,1,1236591,686,1791
solver1,51,20058,2,1236592,686,1792
solver1,51,20058,3,1236593,686,1793
solver1,51,20058,4,1236594,686,1794
solver1,51,20058,5,1236595,686,1795
solver1,51,20058,6,1236596,686,1796
solver1,52,4098,0,803707,446,907
solver1,52,4098,1,801907,445,907
solver1,52,4098,2,801908,445,908
solver1,52,4098,3,801909,445,909
solver1,52,4098,4,801910,445,910
solver1,52,4098,5,801911,445,911
solver1,52,4098,6,801912,445,912
solver1,52,4098,7,801913,445,913
solver1,52,4098,8,801914,445,914
solver1,52,4098,9,801915,445,915
solver1,52,4098,10,800115,444,915
solver1,52,4098,11,798315,443,915
solver1,52,4098,12,796515,442,915
solver1,53,9085,0,490619,272,1019
solver1,53,9085,1,492419,273,1019
solver1,53,9085,2,494219,274,1019
solver1,53,9085,3,496019,275,1019
solver1,53,9085,4,497819,276,1019
solver1,53,9085,5,499619,277,1019
solver1,53,9085,6,499620,277,1020
solver1,53,9085,7,499621,277,1021
solver1,53,9085,8,499622,277,1022
solver1,53,9085,9,499623,277,1023
solver1,53,9085,10,499624,277,1024
solver1,53,9085,11,499625,277,1025
solver1,53,9085,12,499626,277,1026
solver1,53,9085,13,499627,277,1027
solver1,53,9085,14,499628,277,1028
solver1,54,6299,0,1007020,559,820
solver1,54,6299,1,1007021,559,821
solver1,54,6299,2,1007022,559,822
solver1,55,20680,0,3117678,1732,78
solver1,55,20680,1,3117677,1732,77
solver1,55,20680,2,3117676,1732,76
solver1,55,20680,3,3117675,1732,75
solver1,55,20680,4,3115875,1731,75
solver1,55,20680,5,3114075,1730,75
solver1,55,20680,6,3112275,1729,75
solver1,55,20680,7,3110475,1728,75
solver1,55,20680,8,3108675,1727,75
solver1,56,1151,0,855555,475,555
solver1,56,1151,1,855554,475,554
solver1,57,20793,0,2740620,1522,1020
solver1,57,20793,1,2740619,1522,1019
solver1,58,25012,0,2567643,1426,843
solver1,58,25012,1,2565843,1425,843
solver1,58,25012,2,2564043,1424,843
solver1,58,25012,3,2562243,1423,843
solver1,58,25012,4,2560443,1422,843
solver1,58,25012,5,2558643,1421,843
solver1,58,25012,6,2556843,1420,843
solver1,58,25012,7,2556844,1420,844
solver1,59,24334,0,851499,473,99
solver1,59,24334,1,849699,472,99
solver1,59,24334,2,849698,472,98
solver1,60,7806,0,530459,294,1259
solver1,60,7806,1,528659,293,1259
solver1,60,7806,2,526859,292,1259
solver1,60,7806,3,525059,291,1259
solver1,60,7806,4,523259,290,1259
solver1,60,7806,5,521459,289,1259
solver1,60,7806,6,521458,289,1258
solver1,61,17924,0,770871,428,471
solver1,61,17924,1,772671,429,471
solver1,61,17924,2,774471,430,471
solver1,61,17924,3,774470,430,470
solver1,61,17924,4,774469,430,469
solver1,61,17924,5,774468,430,468
solver1,61,17924,6,774467,430,467
solver1,62,1844,0,65627,36,827
solver1,62,1844,1,67427,37,827
solver1,62,1844,2,69227,38,827
solver1,62,1844,3,71027,39,827
